rcn,code,title,shortTitle,language
664511,H2020-EU.6.,DIREKTE MASSNAHMEN DER GEMEINSAMEN FORSCHUNGSSTELLE (GFS) AUSSERHALB DES NUKLEARBEREICHS ,Joint Research Centre (JRC) non-nuclear direct actions,de
664513,H2020-EU.7.,INSTITUTO EUROPEO DE INNOVACIÃN Y TECNOLOGÃA (EIT),European Institute of Innovation and Technology (EIT),es
664387,H2020-EU.3.4.4.,SpoÅeczno-gospodarcze i behawioralne badania naukowe oraz wybiegajÄce w przyszÅoÅÄ dziaÅania zwiÄzane z ksztaÅtowaniem polityki,Socio-economic and behavioural research,pl
664387,H2020-EU.3.4.4.,Ricerca socioeconomica e comportamentale e attivitÃ  orientate al futuro per l'elaborazione delle strategie politiche,Socio-economic and behavioural research,it
664387,H2020-EU.3.4.4.,"SozioÃ¶konomische Forschung, Verhaltensforschung und vorausschauende TÃ¤tigkeiten fÃ¼r die politische Entscheidungsfindung.",Socio-economic and behavioural research,de
664367,H2020-EU.3.4.2.,"Usprawniona mobilnoÅÄ, mniejsze zagÄszczenie ruchu, wiÄksze bezpieczeÅstwo i ochrona","Mobility, safety and security",pl
664359,H2020-EU.3.4.1.,Des transports Ã©conomes en Ã©nergie et respectueux de l'environnement,Resource efficient transport that respects the environment,fr
664513,H2020-EU.7.,DAS EUROPÃISCHE INNOVATIONS- UND TECHNOLOGIEINSTITUT (EIT),European Institute of Innovation and Technology (EIT),de
664513,H2020-EU.7.,EUROPEJSKI INSTYTUT INNOWACJI I TECHNOLOGII (EIT),European Institute of Innovation and Technology (EIT),pl
664511,H2020-EU.6.,DZIAÅANIA BEZPOÅREDNIE WSPÃLNEGO CENTRUM BADAWCZEGO (JRC) NIENALEÅ»ÄCE DO OBSZARU BADAÅ JÄDROWYCH,Joint Research Centre (JRC) non-nuclear direct actions,pl
664511,H2020-EU.6.,AZIONI DIRETTE NON NUCLEARI DEL CENTRO COMUNE DI RICERCA (CCR),Joint Research Centre (JRC) non-nuclear direct actions,it
664511,H2020-EU.6.,LES ACTIONS DIRECTES NON NUCLÃAIRES DU CENTRE COMMUN DE RECHERCHE (JRC),Joint Research Centre (JRC) non-nuclear direct actions,fr
664489,H2020-EU.4.d.,Eine FazilitÃ¤t fÃ¼r PolitikunterstÃ¼tzung,Policy Support Facility (PSF),de
664489,H2020-EU.4.d.,CreaciÃ³n de un mecanismo de apoyo a las polÃ­ticas,Policy Support Facility (PSF),es
664377,H2020-EU.3.4.3.,PrimautÃ© sur la scÃ¨ne mondiale pour l'industrie europÃ©enne des transports,Global leadership for the European transport industry,fr
664367,H2020-EU.3.4.2.,"Mejor movilidad, menor congestiÃ³n, mayor seguridad","Mobility, safety and security",es
664367,H2020-EU.3.4.2.,"GrÃ¶Ãere MobilitÃ¤t, geringeres Verkehrsaufkommen, grÃ¶Ãere Sicherheit","Mobility, safety and security",de
664359,H2020-EU.3.4.1.,"ZasobooszczÄdny transport, ktÃ³ry szanuje Årodowisko",Resource efficient transport that respects the environment,pl
664229,H2020-EU.2.3.2.1.,Sostegno per le PMI ad elevata intensitÃ  di ricerca,Support for research intensive SMEs,it
664195,H2020-EU.2.1.4.3.,Des technologies Â«plateformesÂ» innovantes et compÃ©titives,Innovative and competitive platform technologies,fr
664195,H2020-EU.2.1.4.3.,Innowacyjne i konkurencyjne technologie platformowe,Innovative and competitive platform technologies,pl
664191,H2020-EU.2.1.4.1.,UnterstÃ¼tzung der Spitzenforschung in der Biotechnologie als kÃ¼nftiger Innovationsmotor ,Cutting-edge biotechnologies as future innovation driver,de
664229,H2020-EU.2.3.2.1.,Wsparcie dla MÅP intensywnie korzystajÄcych z badaÅ naukowych,Support for research intensive SMEs,pl
664193,H2020-EU.2.1.4.2.,Produkty i procesy przemysÅowe oparte na biotechnologii,Bio-technology based industrial products and processes,pl
664193,H2020-EU.2.1.4.2.,Productos y procesos industriales basados en la biotecnologÃ­a,Bio-technology based industrial products and processes,es
664193,H2020-EU.2.1.4.2.,Prodotti e processi industriali basati sulla biotecnologia,Bio-technology based industrial products and processes,it
664187,H2020-EU.2.1.3.7.,Ottimizzazione dell'impiego di materiali,Optimisation of the use of materials,it
664187,H2020-EU.2.1.3.7.,Optymalizacja wykorzystania materiaÅÃ³w,Optimisation of the use of materials,pl
664131,H2020-EU.1.4.2.,Steigerung des Innovationspotenzials der Forschungsinfrastrukturen und ihrer Humanressourcen,Research infrastructures and their human resources,de
664131,H2020-EU.1.4.2.,Fomentar el potencial innovador de las infraestructuras de investigaciÃ³n y sus recursos humanos,Research infrastructures and their human resources,es
664123,H2020-EU.1.4.1.,Ausbau der europÃ¤ischen Forschungsinfrastrukturen bis 2020 und darÃ¼ber hinaus,Research infrastructures for 2020 and beyond,de
664123,H2020-EU.1.4.1.,Rozwijanie europejskiej infrastruktury badawczej na miarÄ 2020 r. i dalszej przyszÅoÅci,Research infrastructures for 2020 and beyond,pl
664229,H2020-EU.2.3.2.1.,UnterstÃ¼tzung forschungsintensiver KMU,Support for research intensive SMEs,de
664229,H2020-EU.2.3.2.1.,Soutien aux PME Ã  forte intensitÃ© de recherche,Support for research intensive SMEs,fr
664195,H2020-EU.2.1.4.3.,Innovative und wettbewerbsfÃ¤hige Plattformtechnologien,Innovative and competitive platform technologies,de
664193,H2020-EU.2.1.4.2.,Produits et processus industriels fondÃ©s sur les biotechnologies,Bio-technology based industrial products and processes,fr
664179,H2020-EU.2.1.3.3.,GestiÃ³n de componentes de materiales,Management of materials components,es
664187,H2020-EU.2.1.3.7.,Optimierung des Werkstoffeinsatzes,Optimisation of the use of materials,de
664187,H2020-EU.2.1.3.7.,Optimisation de l'utilisation des matÃ©riaux,Optimisation of the use of materials,fr
664185,H2020-EU.2.1.3.6.,"Metrologia, charakteryzowanie, standaryzacja i kontrola jakoÅci","Metrology, characterisation, standardisation and quality control",pl
664179,H2020-EU.2.1.3.3.,Gestione dei componenti dei materiali,Management of materials components,it
664387,H2020-EU.3.4.4.,Recherche socio-Ã©conomique et comportementale et activitÃ©s de prospective en appui Ã  la prise de dÃ©cisions,Socio-economic and behavioural research,fr
664387,H2020-EU.3.4.4.,InvestigaciÃ³n socioeconÃ³mica y de comportamiento y actividades de prospectiva para la formulaciÃ³n de polÃ­ticas,Socio-economic and behavioural research,es
664511,H2020-EU.6.,ACCIONES DIRECTAS NO NUCLEARES DEL CENTRO COMÃN DE INVESTIGACIÃN (CCI),Joint Research Centre (JRC) non-nuclear direct actions,es
664137,H2020-EU.1.4.3.,Renforcer la politique europÃ©enne relative aux infrastructures de recherche ainsi que la coopÃ©ration internationale,Research infrastructure policy and international cooperation,fr
664131,H2020-EU.1.4.2.,Wspieranie innowacyjnego potencjaÅu infrastruktury badawczej i jej zasobÃ³w ludzkich,Research infrastructures and their human resources,pl
664377,H2020-EU.3.4.3.,WiodÄca pozycja europejskiego przemysÅu transportowego na Åwiecie,Global leadership for the European transport industry,pl
664377,H2020-EU.3.4.3.,Leadership mondiale per l'industria europea dei trasporti,Global leadership for the European transport industry,it
664377,H2020-EU.3.4.3.,Weltweit fÃ¼hrende Rolle der europÃ¤ischen Verkehrsindustrie,Global leadership for the European transport industry,de
664367,H2020-EU.3.4.2.,"Migliorare la mobilitÃ , diminuire il traffico e aumentare la sicurezza","Mobility, safety and security",it
664359,H2020-EU.3.4.1.,Trasporti efficienti sotto il profilo delle risorse che rispettino l'ambiente,Resource efficient transport that respects the environment,it
665319,H2020-EU.3.2.6.2.,Fostering the bio-economy for bio-based industrie,,en
665418,H2020-EU.3.4.5.8.,ECO Transverse  Area,,en
665359,H2020-EU.3.1.7.5.,Neurodegenerative diseases,,en
665355,H2020-EU.3.1.7.3.,Cardiovascular diseases,,en
665373,H2020-EU.3.1.7.12.,Vaccine,,en
665375,H2020-EU.3.1.7.13.,Other,,en
665361,H2020-EU.3.1.7.6.,Psychiatric diseases,,en
665357,H2020-EU.3.1.7.4.,Diabetes,,en
665353,H2020-EU.3.1.7.2.,Osteoarthritis,,en
665329,H2020-EU.2.1.1.7.2.,"Processes, methods, tools and platforms, reference designs and architectures, for software and/or control-intensive embedded/cyber-physical systems, addressing seamless connectivity and interoperability, functional safety, high availability, and security for professional and consumer type applications, and connected services",,en
665331,H2020-EU.2.1.1.7.3.,"Multi-disciplinary approaches for smart systems, supported by developments in holistic design and advanced manufacturing to realise self-reliant and adaptable smart systems having sophisticated interfaces and offering complex functionalities based on, for example, the seamless integration of sensing, actuating, processing, energy provision and networking",,en
665351,H2020-EU.3.1.7.1.,Antimicrobial resistance,,en
665365,H2020-EU.3.1.7.8.,Immune-mediated diseases,,en
665402,H2020-EU.3.4.5,CLEANSKY2,,en
665371,H2020-EU.3.1.7.11.,Rare/Orphan Diseases,,en
665367,H2020-EU.3.1.7.9.,Ageing-associated diseases,,en
665369,H2020-EU.3.1.7.10.,Cancer,,en
665363,H2020-EU.3.1.7.7.,Respiratory diseases,,en
665327,H2020-EU.2.1.1.7.1.,"Design technologies, process and integration, equipment, materials and manufacturing for micro- and nanoelectronics while targeting miniaturisation, diversification and differentiation, heterogeneous integration",,en
664535,H2020-Euratom-1.9.,European Fusion Development Agreement,,en
664431,H2020-EU.3.5.6.1.,"Identifying resilience levels via observations, monitoring and modelling",,en
664489,H2020-EU.4.d.,A Policy Support Facility,Policy Support Facility (PSF),en
664381,H2020-EU.3.4.3.2.,"On board, smart control systems",,en
664187,H2020-EU.2.1.3.7.,Optimisation of the use of materials,Optimisation of the use of materials,en
664425,H2020-EU.3.5.4.4.,Foster resource efficiency through digital systems,,en
664379,H2020-EU.3.4.3.1.,Developing the next generation of transport means as the way to secure market share in the future,,en
664377,H2020-EU.3.4.3.,Global leadership for the European transport industry,Global leadership for the European transport industry,en
664375,H2020-EU.3.4.2.4.,"Reducing accident rates, fatalities and casualties and improving security",,en
664325,H2020-EU.3.3.1.1.,Bring to mass market technologies and services for a smart and efficient energy use,,en
664513,H2020-EU.7.,THE EUROPEAN INSTITUTE OF INNOVATION AND TECHNOLOGY (EIT),European Institute of Innovation and Technology (EIT),en
664409,H2020-EU.3.5.3.1.,Improve the knowledge base on the availability of raw materials,,en
664383,H2020-EU.3.4.3.3.,Advanced production processes,,en
664131,H2020-EU.1.4.2.,Fostering the innovation potential of research infrastructures and their human resources,Research infrastructures and their human resources,en
664413,H2020-EU.3.5.3.3.,Find alternatives for critical raw materials,,en
664385,H2020-EU.3.4.3.4.,Exploring entirely new transport concepts,,en
664415,H2020-EU.3.5.3.4.,Improve societal awareness and skills on raw materials,,en
664419,H2020-EU.3.5.4.1.,"Strengthen  eco-innovative technologies, processes, services and products including exploring ways to reduce the quantities of raw materials in production and consumption, and overcoming barriers in this context and boost their market uptake",,en
664243,H2020-EU.3.1.1.2.,Understanding disease,,en
664179,H2020-EU.2.1.3.3.,Management of materials components,Management of materials components,en
664527,H2020-Euratom-1.5.,Move toward demonstration of feasibility of fusion as a power source by exploiting existing and future fusion facilities,,en
664373,H2020-EU.3.4.2.3.,Developing new concepts of freight transport and logistics,,en
664365,H2020-EU.3.4.1.3.,Improving transport and mobility in urban areas,,en
664241,H2020-EU.3.1.1.1.,"Understanding the determinants of health, improving health promotion and disease prevention",,en
664277,H2020-EU.3.1.6.1.,Promoting integrated care,,en
664185,H2020-EU.2.1.3.6.,"Metrology, characterisation, standardisation and quality control","Metrology, characterisation, standardisation and quality control",en
664195,H2020-EU.2.1.4.3.,Innovative and competitive platform technologies,Innovative and competitive platform technologies,en
664433,H2020-EU.3.5.6.2.,Providing for a better understanding on how communities perceive and respond to climate change and seismic and volcanic hazards,,en
664367,H2020-EU.3.4.2.,"Better mobility, less congestion, more safety and security","Mobility, safety and security",en
664123,H2020-EU.1.4.1.,Developing the European research infrastructures for 2020 and beyond,Research infrastructures for 2020 and beyond,en
664393,H2020-EU.3.5.1.1.,Improve the understanding of climate change and the provision of reliable climate projections,,en
664451,H2020-EU.3.6.2.3.,"Make use of the innovative, creative and productive potential of all generations",,en
664229,H2020-EU.2.3.2.1.,Support for research intensive SMEs,Support for research intensive SMEs,en
664137,H2020-EU.1.4.3.,Reinforcing European research infrastructure policy and international cooperation,Research infrastructure policy and international cooperation,en
664369,H2020-EU.3.4.2.1.,A substantial reduction of traffic congestion,,en
664361,H2020-EU.3.4.1.1.,"Making aircraft, vehicles and vessels cleaner and quieter will improve environmental performance and reduce perceived noise and vibration",,en
664251,H2020-EU.3.1.2.2.,Improving diagnosis and prognosis,,en
664257,H2020-EU.3.1.3.1.,"Treating disease, including developing regenerative medicine",,en
664359,H2020-EU.3.4.1.,Resource efficient transport that respects the environment,Resource efficient transport that respects the environment,en
664193,H2020-EU.2.1.4.2.,Bio-technology based industrial products and processes,Bio-technology based industrial products and processes,en
664191,H2020-EU.2.1.4.1.,Wspieranie najnowoczeÅniejszych biotechnologii jako przyszÅych czynnikÃ³w stymulujÄcych innowacjÄ,Cutting-edge biotechnologies as future innovation driver,pl
664191,H2020-EU.2.1.4.1.,Rafforzare le biotecnologie d'avanguardia in quanto motore delle future innovazioni,Cutting-edge biotechnologies as future innovation driver,it
664249,H2020-EU.3.1.2.1.,Developing effective prevention and screening programmes and improving the assessment of disease susceptibility,,en
664387,H2020-EU.3.4.4.,Socio-economic and behavioural research and forward looking activities for policy making,Socio-economic and behavioural research,en
664511,H2020-EU.6.,NON-NUCLEAR DIRECT ACTIONS OF THE JOINT RESEARCH CENTRE (JRC),Joint Research Centre (JRC) non-nuclear direct actions,en
664253,H2020-EU.3.1.2.3.,Developing better preventive and therapeutic vaccines,,en
664245,H2020-EU.3.1.1.3.,Improving surveillance and preparedness,,en
664191,H2020-EU.2.1.4.1.,Boosting cutting-edge biotechnologies as a future innovation driver,Cutting-edge biotechnologies as future innovation driver,en
664191,H2020-EU.2.1.4.1.,Impulsar las biotecnologÃ­as de vanguardia como futuro motor de la innovaciÃ³n,Cutting-edge biotechnologies as future innovation driver,es
664137,H2020-EU.1.4.3.,StÃ¤rkung der europÃ¤ischen Forschungsinfrastrukturpolitik und der internationalen Zusammenarbeit,Research infrastructure policy and international cooperation,de
664123,H2020-EU.1.4.1.,Desarrollar las infraestructuras de investigaciÃ³n europeas para 2020 y aÃ±os posteriores,Research infrastructures for 2020 and beyond,es
664195,H2020-EU.2.1.4.3.,Tecnologie di piattaforma innovative e competitive,Innovative and competitive platform technologies,it
664185,H2020-EU.2.1.3.6.,"Metrologia, caratterizzazione, standardizzazione e controllo di qualitÃ ","Metrology, characterisation, standardisation and quality control",it
664179,H2020-EU.2.1.3.3.,Gestion des composants de matÃ©riaux,Management of materials components,fr
664179,H2020-EU.2.1.3.3.,Management von Werkstoffkomponenten ,Management of materials components,de
664137,H2020-EU.1.4.3.,Wzmocnienie europejskiej polityki w zakresie infrastruktury badawczej i wspÃ³Åpracy miÄdzynarodowej,Research infrastructure policy and international cooperation,pl
664123,H2020-EU.1.4.1.,Sviluppare le infrastrutture di ricerca europee per il 2020 e oltre,Research infrastructures for 2020 and beyond,it
664137,H2020-EU.1.4.3.,Rafforzamento della politica europea in materia di infrastrutture di ricerca e della cooperazione internazionale,Research infrastructure policy and international cooperation,it
704366,H2020-ARF-2018-2020-10,12. Innovative Enterprise Week 2019,,en
704517,H2020-ARF-2018-2020-12,High-level conference on R&I foundations and other venture philanthropists,,en
